epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
0,,72,,1.2849667072296143,
,1.4982696171983996e-05,73,,,
0,,73,,3.73406982421875,
,1.4982696171983996e-05,74,,,
0,,74,,3.845193386077881,
,1.4982696171983996e-05,75,,,
0,,75,,2.339045286178589,
,1.4982696171983996e-05,76,,,
0,,76,,2.858156442642212,
,1.4982696171983996e-05,77,,,
0,,77,,2.4526236057281494,
,1.4982696171983996e-05,78,,,
0,,78,,3.026460647583008,
,1.4982696171983996e-05,79,,,
0,,79,,3.2271687984466553,
,1.4982696171983996e-05,80,,,
0,,80,,2.2731566429138184,
,1.4982696171983996e-05,81,,,
0,,81,,0.8873807191848755,
,1.4982696171983996e-05,82,,,
0,,82,,2.9886739253997803,
,1.4982696171983996e-05,83,,,
0,,83,,0.8441422581672668,
,1.4982696171983996e-05,84,,,
0,,84,,2.6494040489196777,
,1.4982696171983996e-05,85,,,
0,,85,,0.5795426964759827,
,1.4982696171983996e-05,86,,,
0,,86,,0.5036474466323853,
,1.4982696171983996e-05,87,,,
0,,87,,1.6914634704589844,
,1.4982696171983996e-05,88,,,
0,,88,,1.0251069068908691,
,1.4982696171983996e-05,89,,,
0,,89,,2.303987741470337,
,1.4982696171983996e-05,90,,,
0,,90,,2.633248805999756,
,1.4982696171983996e-05,91,,,
0,,91,,4.549468040466309,
,1.4982696171983996e-05,92,,,
0,,92,,3.5919342041015625,
,1.4982696171983996e-05,93,,,
0,,93,,3.4123899936676025,
,1.4982696171983996e-05,94,,,
0,,94,,2.047950506210327,
,1.4982696171983996e-05,95,,,
0,,95,,2.88668155670166,
,1.4982696171983996e-05,96,,,
0,,96,,3.6612765789031982,
,1.4982696171983996e-05,97,,,
0,,97,,2.5326080322265625,
,1.4982696171983996e-05,98,,,
0,,98,,1.6401928663253784,
,1.4982696171983996e-05,99,,,
0,,99,,2.2929527759552,
,1.4982696171983996e-05,100,,,
0,,100,,1.5599579811096191,
,1.4982696171983996e-05,101,,,
0,,101,,1.1309289932250977,
,1.4982696171983996e-05,102,,,
0,,102,,1.4574148654937744,
,1.4982696171983996e-05,103,,,
0,,103,,1.9396549463272095,
,1.4982696171983996e-05,104,,,
0,,104,,1.5937577486038208,
,1.4982696171983996e-05,105,,,
0,,105,,5.031607151031494,
,1.4982696171983996e-05,106,,,
0,,106,,0.44707292318344116,
,1.4982696171983996e-05,107,,,
0,,107,,2.301821708679199,
,1.4982696171983996e-05,108,,,
0,,108,,2.7125656604766846,
,1.4982696171983996e-05,109,,,
0,,109,,2.8336851596832275,
,1.4982696171983996e-05,110,,,
0,,110,,1.7850561141967773,
,1.4982696171983996e-05,111,,,
0,,111,,1.4809399843215942,
,1.4982696171983996e-05,112,,,
0,,112,,2.6492366790771484,
,1.4982696171983996e-05,113,,,
0,,113,,2.495471239089966,
,1.4982696171983996e-05,114,,,
0,,114,,3.0024352073669434,
,1.4982696171983996e-05,115,,,
0,,115,,0.9089412093162537,
,1.4982696171983996e-05,116,,,
0,,116,,0.8106724619865417,
,1.4982696171983996e-05,117,,,
0,,117,,2.4879465103149414,
,1.4982696171983996e-05,118,,,
0,,118,,0.3594539165496826,
,1.4982696171983996e-05,119,,,
0,,119,,1.3034793138504028,
,1.4982696171983996e-05,120,,,
0,,120,,3.6009697914123535,
,1.4982696171983996e-05,121,,,
0,,121,,1.4903662204742432,
,1.4982696171983996e-05,122,,,
0,,122,,2.0436530113220215,
,1.4982696171983996e-05,123,,,
0,,123,,4.229671955108643,
,1.4982696171983996e-05,124,,,
0,,124,,2.4073758125305176,
,1.4982696171983996e-05,125,,,
0,,125,,0.967663586139679,
,1.4982696171983996e-05,126,,,
0,,126,,1.5700929164886475,
,1.4982696171983996e-05,127,,,
0,,127,,3.183305263519287,
,1.4982696171983996e-05,128,,,
0,,128,,2.018869638442993,
,1.4982696171983996e-05,129,,,
0,,129,,1.2161638736724854,
,1.4982696171983996e-05,130,,,
0,,130,,2.218977928161621,
,1.4982696171983996e-05,131,,,
0,,131,,1.5026533603668213,
,1.4982696171983996e-05,132,,,
0,,132,,3.224003314971924,
,1.4982696171983996e-05,133,,,
0,,133,,1.897871494293213,
,1.4982696171983996e-05,134,,,
0,,134,,0.9237061738967896,
,1.4982696171983996e-05,135,,,
0,,135,,2.1918511390686035,
,1.4982696171983996e-05,136,,,
0,,136,,1.3430957794189453,
,1.4982696171983996e-05,137,,,
0,,137,,3.3630433082580566,
,1.4982696171983996e-05,138,,,
0,,138,,3.645526647567749,
,1.4982696171983996e-05,139,,,
0,,139,,1.7103790044784546,
,1.4982696171983996e-05,140,,,
0,,140,,1.1043545007705688,
,1.4982696171983996e-05,141,,,
0,,141,,1.958317518234253,
,1.4982696171983996e-05,142,,,
0,,142,,2.6282060146331787,
0,,142,,,1.9425865411758423
0,,142,2.2033724784851074,,
,1.4980698747343061e-05,143,,,
1,,143,,1.5240367650985718,
,1.4980698747343061e-05,144,,,
1,,144,,1.335423231124878,
,1.4980698747343061e-05,145,,,
1,,145,,3.991631269454956,
,1.4980698747343061e-05,146,,,
1,,146,,3.5805482864379883,
,1.4980698747343061e-05,147,,,
1,,147,,4.508810043334961,
,1.4980698747343061e-05,148,,,
1,,148,,1.8597581386566162,
,1.4980698747343061e-05,149,,,
1,,149,,0.9526485204696655,
,1.4980698747343061e-05,150,,,
1,,150,,0.8409501910209656,
,1.4980698747343061e-05,151,,,
1,,151,,3.9432904720306396,
,1.4980698747343061e-05,152,,,
1,,152,,2.2778587341308594,
,1.4980698747343061e-05,153,,,
1,,153,,3.0413553714752197,
,1.4980698747343061e-05,154,,,
1,,154,,2.86128830909729,
,1.4980698747343061e-05,155,,,
1,,155,,1.900146484375,
,1.4980698747343061e-05,156,,,
1,,156,,2.8909835815429688,
,1.4980698747343061e-05,157,,,
1,,157,,0.8613157272338867,
,1.4980698747343061e-05,158,,,
1,,158,,1.6259526014328003,
,1.4980698747343061e-05,159,,,
1,,159,,3.5669493675231934,
,1.4980698747343061e-05,160,,,
1,,160,,0.4903935492038727,
,1.4980698747343061e-05,161,,,
1,,161,,2.898560047149658,
,1.4980698747343061e-05,162,,,
1,,162,,3.6705002784729004,
,1.4980698747343061e-05,163,,,
1,,163,,2.8439557552337646,
,1.4980698747343061e-05,164,,,
1,,164,,2.1725521087646484,
,1.4980698747343061e-05,165,,,
1,,165,,2.380798578262329,
